N,P,K,temperature,humidity,ph,rainfall,label
61.0,53.0,43.0,26.40323239,81.05635517,6.349606327,223.3671883,rice
67.0,43.0,39.0,26.04371967,84.96907151,5.9999690260000005,186.7536773,rice
67.0,58.0,39.0,25.2827223,80.54372813,5.5,220.1156708,rice
66.0,60.0,38.0,22.08576562,83.47038318,6.372576327000001,231.7364957,rice
82.0,43.0,38.0,23.28617173,81.43321641,5.5,242.3170629,rice
84.0,50.0,44.0,25.48591986,81.40633547,5.9353444060000005,182.6549356,rice
81.0,53.0,42.0,23.67575393,81.03569343,5.5,233.7034975,rice
91.0,50.0,40.0,20.82477109,84.1341879,6.462391607000001,230.22422230000004,rice
93.0,53.0,38.0,26.92995077,81.91411159,7.069172227,290.67937830000005,rice
90.0,44.0,38.0,23.83509503,83.88387074,7.473134377,241.20135130000003,rice
81.0,45.0,35.0,26.52872817,80.12267476,6.158376967000001,218.9163567,rice
78.0,40.0,38.0,26.46428311,83.85642678,7.5,248.2256491,rice
60.0,51.0,36.0,22.69657794,82.81088865,6.028321557999999,256.9964761,rice
88.0,46.0,42.0,22.68319059,83.46358271,6.604993475,194.2651719,rice
93.0,47.0,37.0,21.53346343,82.14004101,6.500343222000001,295.9248796,rice
60.0,55.0,45.0,21.40865769,83.32931909999998,5.935745417000001,287.5766935000001,rice
78.0,35.0,44.0,26.54348085,84.67353597,7.072655622,183.6222657,rice
65.0,37.0,40.0,23.35905428,83.59512273,5.5,188.413665,rice
80.0,54.0,25.0,22.61359953,63.69070564,5.7499144210000015,87.75953857,maize
80.0,44.0,25.0,26.10018422,71.57476937,6.931756557999999,102.2662445,maize
80.0,43.0,25.0,23.55882094,71.59351368,6.657964753,66.71995467,maize
80.0,58.0,25.0,21.0,60.0,6.596060648,60.65171481,maize
80.0,38.0,25.0,21.0,62.69503871,5.970458434,65.43835393,maize
80.0,41.0,25.0,21.77689322,60.0,6.158830619,102.0861694,maize
93.0,41.0,25.0,25.6217169,66.50415474,6.047906679,105.4654703,maize
89.0,60.0,25.0,25.19192419,66.69029010000001,5.913664501,78.06639649,maize
80.0,44.0,25.0,21.0,62.55424820000001,5.855442401,65.27798457,maize
80.0,60.0,25.0,24.92162194,66.78627406,5.750254943,109.2162279,maize
80.0,44.0,25.0,23.31689124,73.4541537,5.852607099,94.29712821,maize
90.0,49.0,25.0,24.84016732,68.3584573,6.4725232870000005,74.05474936,maize
80.0,52.0,25.0,22.27526694,60.0,6.9670577620000005,63.87020584,maize
92.0,44.0,25.0,21.0,65.76816093,6.082973754,94.76189431,maize
80.0,54.0,25.0,25.19008683,60.200168700000006,5.919045532,72.12375573,maize
80.0,58.0,25.0,21.0,60.0,6.204747652999999,63.72358154,maize
80.0,47.0,25.0,24.612911800000006,70.4162444,6.600827017,104.1626147,maize
80.0,41.0,25.0,25.1420613,65.26185135,6.021902237000001,76.68456006,maize
80.0,53.0,25.0,23.09348056,60.11593810000001,6.033550195,65.49730729,maize
80.0,55.0,25.0,21.0,62.89366992,6.28886807,84.23613484,maize
80.0,57.0,25.0,24.9321581,73.80435276,6.550563822999999,79.74078719,maize
99.0,50.0,25.0,21.0,71.09445342,5.573286437,88.07753741,maize
80.0,56.0,25.0,21.0,66.65952796,6.829199275,80.97573281,maize
83.0,45.0,25.0,21.0,60.0,5.716222912,79.75328959999999,maize
100.0,48.0,25.0,25.71895816,67.22190688,5.54990242,74.51490791,maize
80.0,51.0,25.0,25.33797709,68.49835977,6.586244581,96.46380213,maize
94.0,39.0,25.0,23.89114571,60.0,5.893093135,102.8301942,maize
80.0,49.0,25.0,21.53574127,71.50905983,5.918263801,102.4852929,maize
80.0,48.0,25.0,23.08974909,63.10459626,5.588650585,70.43473609,maize
87.0,54.0,25.0,25.61707368,63.4711755,6.576418207000001,108.8303762,maize
87.0,35.0,25.0,21.44526922,63.1621551,6.178056304,65.88951188,maize
80.0,43.0,25.0,21.0,60.0,6.641906353,90.988051,maize
84.0,57.0,25.0,22.53510514,67.99257471,6.489040367,64.40866039,maize
80.0,35.0,25.0,23.02038334,61.89472002,5.680361037999999,63.03843397,maize
80.0,46.0,25.0,24.89364635,65.61418761,6.625404347999999,87.9298085,maize
98.0,44.0,25.0,25.77175115,74.089114,6.524478032,107.4931917,maize
80.0,56.0,25.0,21.0,62.35750641,5.696205468,60.95197486,maize
86.0,55.0,25.0,21.54156232,60.0,6.803931519,109.7515385,maize
98.0,35.0,25.0,23.79746068,74.82913698,6.252797547999999,91.76337172,maize
80.0,57.0,25.0,21.0,74.52600826,6.092725883,94.26249353,maize
99.0,56.0,25.0,24.10859207,73.13112261,6.234330356,71.07562236,maize
80.0,44.0,25.0,24.7947077,70.04556743,5.722579819,76.72860067,maize
80.0,48.0,25.0,21.63162756,60.27766379,6.430616465,69.21803098,maize
89.0,60.0,25.0,25.37548751,60.0,5.983952675,101.7004306,maize
80.0,51.0,25.0,22.21738222,72.85462807,6.80163854,106.6213157,maize
96.0,46.0,25.0,21.0,69.00128641,6.499936446,66.29390357,maize
80.0,60.0,25.0,24.87502824,68.74248334,6.265564338,91.26056654,maize
80.0,58.0,25.0,21.0,60.0,6.727303282,109.024141,maize
80.0,43.0,25.0,25.95263264,61.89082199,6.325235159,99.57981207,maize
80.0,43.0,25.0,21.0,65.47050802,6.807487794,71.3195307,maize
99.0,36.0,25.0,21.0,65.34583901,6.671085817000001,78.34604471,maize
80.0,36.0,25.0,24.71417533,60.0,6.648725327,88.45361858,maize
87.0,60.0,25.0,21.0,63.91281869,6.439071996,62.50351892,maize
80.0,38.0,25.0,21.0,64.23580251,6.474476516,76.41312437,maize
94.0,54.0,25.0,23.39128187,61.74427165,5.871647806,107.3198135,maize
95.0,38.0,25.0,21.0,61.24500053,5.730617109,100.7689246,maize
84.0,44.0,25.0,21.869274,61.91044947,5.850439831,107.2681929,maize
80.0,58.0,25.0,22.8056033,60.0,5.791649933,101.5952794,maize
80.0,44.0,25.0,21.0,69.02298571,6.740000687999999,80.72515943,maize
80.0,35.0,25.0,22.02720976,65.35549924,6.272417541,83.73280082,maize
80.0,45.0,25.0,23.80546189,60.0,5.715208817000001,89.96220140000001,maize
80.0,60.0,25.0,21.0,69.0276233,5.773454729,88.10234397,maize
80.0,51.0,25.0,23.50297882,61.32026065,5.584171461,64.77791424,maize
86.0,36.0,25.0,26.54986394,72.89187265,5.787268394,73.33636055,maize
80.0,48.0,25.0,21.0,69.63481219,5.77597783,83.21030571,maize
80.0,53.0,25.0,21.0,60.0,6.864793607,103.651438,maize
81.0,45.0,25.0,21.0,68.03449300000001,6.192360002999999,84.22969177,maize
80.0,45.0,25.0,24.60532218,73.58868502,6.636803222999999,96.59195302,maize
80.0,35.0,25.0,22.27373646,60.0,5.826426917,67.96704792,maize
96.0,54.0,25.0,25.70196694,61.33450447,6.960358276,83.20711308,maize
99.0,39.0,25.0,21.0,68.30578978,6.11275104,87.85092352,maize
80.0,48.0,25.0,21.70181447,60.47470519,6.708446922,95.71388473,maize
86.0,37.0,25.0,21.0,60.0,5.561510732,67.61013737,maize
94.0,50.0,25.0,23.30355338,73.62548442,5.873242491,97.59081274,maize
80.0,39.0,25.0,24.2547451,60.0,6.995843776,64.23845455,maize
80.0,52.0,25.0,24.86374934,65.7420046,5.714799723,75.82270467,maize
80.0,39.0,25.0,22.6265115,65.77472881,6.78073637,88.17251033,maize
81.0,49.0,25.0,21.0,60.61494304,5.513697923,104.2321615,maize
80.0,42.0,25.0,23.26237612,72.33125523,5.798423907999999,67.10225139,maize
99.0,38.0,25.0,22.88330922,71.59722446,6.352471866,67.72777298,maize
90.0,52.0,25.0,25.97482359,69.36385721,6.822586546,103.2234212,maize
80.0,40.0,25.0,26.14384005,66.20569924,6.655426355,107.2361366,maize
80.0,57.0,25.0,21.0,61.55327249,6.1212940410000005,75.03247667,maize
80.0,52.0,25.0,25.10787449,60.0,5.790770202999999,78.16077693,maize
80.0,59.0,25.0,23.33844615,60.0,6.47444292,105.0083144,maize
88.0,38.0,25.0,25.08239719,65.92195844,6.455116637000001,62.49190812,maize
80.0,60.0,25.0,25.36768364,72.52054555,6.6069840860000015,107.9124111,maize
80.0,37.0,25.0,25.34217103,63.31801994,6.330554389,74.52082026,maize
80.0,58.0,25.0,25.00933355,67.816568,6.5286312660000005,62.91359494,maize
92.0,60.0,25.0,21.0,71.516474,5.721667141,69.93293255,maize
80.0,59.0,25.0,21.0,63.73849998,6.644205485,108.5054416,maize
91.0,55.0,25.0,21.0,72.61024172,6.376651091,78.96159541,maize
80.0,51.0,25.0,26.16985907,71.96246617,6.247040422,79.84925393,maize
87.0,48.0,25.0,21.0,61.37879671,6.656730007999999,93.62039175,maize
80.0,60.0,25.0,26.07470121,60.0,6.2048017,85.75692395,maize
90.0,57.0,25.0,21.0,72.80086137,6.158860284,82.34162918,maize
80.0,35.0,25.0,23.30546753,63.24648023,6.385684213999999,108.7603001,maize
80.0,54.0,25.0,21.0,62.49878458,6.417820493,70.23401597,maize
83.0,58.0,25.0,21.0,60.0,6.381201909,65.50861389,maize
83.0,57.0,25.0,25.73044432,70.74739256,6.877869005,98.73771338,maize
40.0,70.0,40.0,17.02498456,40.0,7.485996067,80.0,chickpea
23.0,70.0,40.0,19.02061277,40.0,6.920251378,79.92698081,chickpea
39.0,58.0,40.0,17.88776475,40.0,6.0,68.54932919,chickpea
22.0,70.0,40.0,18.86805647,40.0,6.391173589,80.0,chickpea
36.0,67.0,40.0,18.36952567,40.0,7.152811172000001,79.26357665,chickpea
32.0,70.0,40.0,20.45078582,40.0,6.0,80.0,chickpea
50.0,70.0,40.0,20.6543203,40.0,6.231049027999999,74.6631118,chickpea
50.0,70.0,40.0,17.3348681,40.0,7.5,80.0,chickpea
42.0,62.0,40.0,18.17912258,40.0,7.010570541,80.0,chickpea
28.0,70.0,40.0,18.01272266,40.0,7.5,80.0,chickpea
50.0,66.0,40.0,20.99373558,40.0,7.5,80.0,chickpea
43.0,66.0,40.0,19.46233971,40.0,7.5,74.58565097,chickpea
50.0,63.0,40.0,19.81344531,40.0,6.515499548999999,78.96514709,chickpea
23.0,62.0,40.0,18.97424756,40.0,7.5,80.0,chickpea
27.0,62.0,40.0,18.19737048,40.0,6.576415562,70.18185181,chickpea
28.0,70.0,40.0,18.72963144,40.0,6.481783042999999,71.58010169,chickpea
50.0,56.0,40.0,20.99502153,40.0,7.5,73.50734019,chickpea
39.0,70.0,40.0,20.28155898,40.0,7.5,80.0,chickpea
25.0,70.0,40.0,17.48042641,40.0,7.228963452,66.96980581,chickpea
31.0,70.0,40.0,20.88818675,40.0,6.492546046,80.0,chickpea
26.0,70.0,40.0,17.08498521,40.0,7.5,71.31007253,chickpea
25.0,68.0,40.0,20.09340593,40.0,7.5,80.0,chickpea
31.0,70.0,40.0,17.57212145,40.0,7.5,80.0,chickpea
50.0,68.0,40.0,19.12065218,40.0,6.620900869,80.0,chickpea
50.0,62.0,40.0,18.57665902,40.0,7.5,72.94940441,chickpea
22.0,67.0,40.0,17.16606398,40.0,6.204090835,72.32667516,chickpea
36.0,65.0,40.0,18.2872007,40.0,6.051091339,74.87445574,chickpea
50.0,60.0,40.0,19.03025305,40.0,7.5,80.0,chickpea
50.0,70.0,40.0,17.141861399999996,40.0,7.5,80.0,chickpea
43.0,68.0,40.0,17.47809436,40.0,6.761599706,78.92060234,chickpea
28.0,70.0,40.0,20.56601874,40.0,6.654425315,80.0,chickpea
42.0,70.0,40.0,17.22385224,40.0,6.129533877,76.57580954,chickpea
32.0,60.0,40.0,19.69141713,40.0,7.5,80.0,chickpea
22.0,70.0,40.0,17.84851658,40.0,7.5,76.32470713,chickpea
31.0,70.0,40.0,18.8202251,40.0,7.5,80.0,chickpea
28.0,58.0,40.0,17.47500984,40.0,6.18042747,80.0,chickpea
50.0,58.0,40.0,18.72649425,40.0,7.5,80.0,chickpea
49.0,55.0,40.0,18.65580107,40.0,7.5,80.0,chickpea
46.0,70.0,40.0,18.2356751,40.0,6.967843048,80.0,chickpea
50.0,61.0,40.0,18.81198127,40.0,6.206582192999999,77.54294240000002,chickpea
38.0,60.0,40.0,18.65054116,40.0,7.5,77.92798682,chickpea
50.0,55.0,40.0,20.36720401,40.0,7.5,80.0,chickpea
36.0,70.0,40.0,18.38120357,40.0,7.5,70.52056697,chickpea
50.0,68.0,40.0,17.17012591,40.0,7.5,72.78624223,chickpea
35.0,66.0,40.0,19.37101121,40.0,6.138243973,80.0,chickpea
35.0,64.0,40.0,17.92845928,40.0,7.496645259,80.0,chickpea
50.0,60.0,40.0,19.45339934,40.0,7.5,75.6317566,chickpea
27.0,70.0,40.0,19.12829388,40.0,6.289614016,80.0,chickpea
50.0,60.0,40.0,19.1034283,40.0,6.586777189,75.49101167,chickpea
50.0,68.0,40.0,17.48504075,40.0,6.89655198,80.0,chickpea
43.0,70.0,40.0,19.40751744,40.0,7.5,80.0,chickpea
44.0,70.0,40.0,20.18649426,40.0,7.150681303,78.26039559,chickpea
24.0,55.0,40.0,17.30287885,40.0,6.64919573,75.57790384,chickpea
29.0,70.0,40.0,17.50361137,40.0,7.5,72.9446671,chickpea
20.0,60.0,40.0,18.17234999,40.0,6.358740355,80.0,chickpea
50.0,67.0,40.0,17.57445618,40.0,7.5,77.81891424,chickpea
37.0,66.0,40.0,20.93175255,40.0,6.456148474,78.06910795,chickpea
49.0,70.0,40.0,19.71098332,40.0,6.613072145,80.0,chickpea
50.0,69.0,40.0,19.07937684,40.0,7.5,69.40619137,chickpea
20.0,70.0,40.0,18.54988627,40.0,7.5,76.32565249,chickpea
24.0,56.0,40.0,18.19903647,40.0,6.545888558,80.0,chickpea
50.0,70.0,40.0,18.88852533,40.0,7.1042247970000005,80.0,chickpea
50.0,70.0,40.0,18.49311205,40.0,7.358099622,80.0,chickpea
22.0,64.0,40.0,19.48974337,40.0,6.4740245000000005,80.0,chickpea
50.0,70.0,40.0,17.25769499,40.0,7.5,80.0,chickpea
29.0,70.0,40.0,19.62416326,40.0,7.064790365,80.0,chickpea
44.0,59.0,40.0,20.67526473,40.0,7.5,80.0,chickpea
41.0,69.0,40.0,20.02381489,40.0,6.715587232000001,68.97806542,chickpea
50.0,56.0,40.0,20.118744600000007,40.0,6.81712422,80.0,chickpea
34.0,70.0,40.0,20.65691793,40.0,7.5,65.23811143,chickpea
42.0,70.0,40.0,19.2582557,40.0,7.5,65.78042032,chickpea
34.0,70.0,40.0,17.927806,40.0,7.5,74.63872762,chickpea
27.0,70.0,40.0,19.16288268,40.0,7.354973451,80.0,chickpea
30.0,70.0,40.0,20.26942271,40.0,7.313122235,69.64449182,chickpea
50.0,57.0,40.0,17.09104223,40.0,7.5,80.0,chickpea
27.0,70.0,40.0,17.06579293,40.0,6.307004922999999,70.87150577,chickpea
32.0,70.0,40.0,20.62767492,40.0,6.4039823160000005,80.0,chickpea
31.0,70.0,40.0,20.8248451,40.0,7.5,79.20509212,chickpea
33.0,70.0,40.0,19.46210401,40.0,7.217018459,68.81405149,chickpea
47.0,70.0,40.0,17.18248372,40.0,7.5,72.85017344,chickpea
50.0,62.0,40.0,17.48911699,40.0,7.489545074,79.45758333,chickpea
47.0,70.0,40.0,17.48395377,40.0,6.609696734,65.11365631,chickpea
35.0,57.0,40.0,19.48316794,40.0,7.476800943,80.0,chickpea
50.0,70.0,40.0,19.71359733,40.0,7.325451279,73.64476535,chickpea
45.0,61.0,40.0,19.48649305,40.0,6.489389282,80.0,chickpea
37.0,70.0,40.0,19.95264829,40.0,7.5,80.0,chickpea
30.0,70.0,40.0,19.41789736,40.0,6.4084378860000015,68.4951189,chickpea
37.0,55.0,40.0,19.45591848,40.0,7.5,78.44910564,chickpea
50.0,65.0,40.0,20.19137759,40.0,7.5,77.33795356,chickpea
22.0,60.0,40.0,18.8392908,40.0,7.5,80.0,chickpea
50.0,61.0,40.0,20.71219282,40.0,6.317153205,80.0,chickpea
42.0,67.0,40.0,18.99424448,40.0,7.114405288,78.69707199,chickpea
39.0,70.0,40.0,19.96837462,40.0,7.5,69.15759062,chickpea
35.0,63.0,40.0,17.81564548,40.0,7.5,80.0,chickpea
30.0,65.0,40.0,20.71424384,40.0,7.103798069,76.77888672,chickpea
50.0,56.0,40.0,17.34150229,40.0,7.5,67.9545435,chickpea
48.0,65.0,40.0,17.43732714,40.0,7.5,73.0926704,chickpea
36.0,56.0,40.0,18.89780215,40.0,7.4526709,69.09512477,chickpea
40.0,58.0,40.0,18.59190771,40.0,7.168096055,80.0,chickpea
49.0,69.0,40.0,18.31561493,40.0,7.26311855,80.0,chickpea
20.0,60.0,25.0,17.13692774,60.0,6.0,128.256862,kidneybeans
25.0,70.0,20.0,19.63474332,60.0,6.0,106.3598183,kidneybeans
31.0,55.0,22.0,22.91350245,60.0,6.0,109.225556,kidneybeans
40.0,64.0,20.0,16.43340342,60.0,6.0,140.3717815,kidneybeans
20.0,61.0,20.0,22.13974653,60.0,6.0,76.64128258,kidneybeans
26.0,65.0,22.0,17.84806561,60.0,6.0,143.09841709999995,kidneybeans
20.0,57.0,21.0,19.88394011,60.0,6.0,60.91974792,kidneybeans
26.0,80.0,20.0,19.32509638,60.0,6.0,104.7783947,kidneybeans
20.0,59.0,20.0,18.416700100000003,60.0,6.0,132.9801054,kidneybeans
27.0,59.0,22.0,21.81167649,60.0,6.0,130.0608093,kidneybeans
28.0,58.0,24.0,19.72702528,60.0,6.0,143.7630894,kidneybeans
25.0,57.0,20.0,17.15432954,60.0,6.0,87.99669731,kidneybeans
28.0,80.0,20.0,19.62207826,60.0,6.0,144.1567454,kidneybeans
25.0,60.0,22.0,21.63149148,60.0,6.0,134.3649948,kidneybeans
20.0,78.0,23.0,16.06522754,60.0,6.0,88.06638775,kidneybeans
20.0,77.0,25.0,20.61162204,60.0,6.0,69.63833855,kidneybeans
22.0,79.0,20.0,21.42451099,60.0,6.0,116.5206923,kidneybeans
27.0,80.0,20.0,19.07096165,60.0,6.0,86.21917578,kidneybeans
20.0,55.0,23.0,21.18853178,60.0,6.0,137.1948633,kidneybeans
23.0,65.0,20.0,23.0429097,60.0,6.0,108.3684316,kidneybeans
20.0,78.0,20.0,20.65375833,60.0,6.0,67.71768947,kidneybeans
20.0,65.0,25.0,18.09551014,60.0,6.0,144.7902323,kidneybeans
22.0,70.0,20.0,18.23775702,60.0,6.0,69.44951585,kidneybeans
37.0,64.0,22.0,17.48189735,60.0,6.0,121.9401369,kidneybeans
20.0,71.0,20.0,19.9191786,60.0,6.0,82.68554379,kidneybeans
20.0,79.0,20.0,20.27514686,60.0,6.0,139.7521543,kidneybeans
21.0,63.0,20.0,15.77370214,60.0,6.0,108.3441414,kidneybeans
24.0,80.0,22.0,16.71170642,60.0,6.0,96.77285817,kidneybeans
34.0,60.0,22.0,17.66148158,60.0,6.0,100.6711761,kidneybeans
20.0,75.0,21.0,18.50692825,60.0,6.0,87.05132890000002,kidneybeans
20.0,77.0,23.0,24.51324787,60.0,6.0,64.19497947,kidneybeans
37.0,72.0,20.0,18.87614998,60.0,6.0,105.4120514,kidneybeans
40.0,73.0,20.0,21.59343016,60.0,6.0,61.13872036,kidneybeans
20.0,77.0,20.0,20.12373284,60.0,6.0,106.158201,kidneybeans
20.0,62.0,23.0,15.43546065,60.0,6.0,139.0302034,kidneybeans
33.0,59.0,22.0,22.64236876,60.0,6.0,122.3886015,kidneybeans
23.0,59.0,20.0,21.98560799,60.0,6.0,129.5650601,kidneybeans
20.0,62.0,22.0,20.53052663,60.0,6.0,120.4509288,kidneybeans
25.0,63.0,20.0,15.78601387,60.0,6.0,95.17028129,kidneybeans
20.0,79.0,23.0,19.6365349,60.0,6.0,96.65888933,kidneybeans
20.0,72.0,20.0,20.57341244,60.0,6.0,87.87869161,kidneybeans
27.0,64.0,20.0,20.16080524,60.0,6.0,138.2362122,kidneybeans
28.0,66.0,23.0,21.53989176,60.0,6.0,120.6913038,kidneybeans
32.0,57.0,20.0,15.53834801,60.0,6.0,107.3850593,kidneybeans
27.0,56.0,22.0,19.91853092,60.0,6.0,108.6434544,kidneybeans
20.0,77.0,24.0,20.76952209,60.0,6.0,109.0193712,kidneybeans
20.0,65.0,20.0,23.46168338,60.0,6.0,95.84253438,kidneybeans
20.0,72.0,21.0,24.32116642,60.0,6.0,60.27552528,kidneybeans
34.0,60.0,23.0,20.12574053,60.0,6.0,100.0497183,kidneybeans
20.0,80.0,20.0,21.80619564,60.0,6.0,125.0972687,kidneybeans
20.0,72.0,20.0,19.52226241,60.0,6.0,113.334026,kidneybeans
20.0,67.0,24.0,17.00067625,60.0,6.0,103.2926407,kidneybeans
35.0,69.0,23.0,16.78791503,60.0,6.0,75.45328039,kidneybeans
20.0,77.0,25.0,24.84906168,60.0,6.0,62.21292186,kidneybeans
23.0,62.0,20.0,16.51783455,60.0,6.0,98.77794225,kidneybeans
22.0,71.0,20.0,18.15300153,60.0,6.0,107.6907964,kidneybeans
31.0,79.0,25.0,23.18864385,60.0,6.0,63.38208822,kidneybeans
34.0,59.0,20.0,23.38002569,60.0,6.0,87.66898664,kidneybeans
20.0,63.0,20.0,18.358923,60.0,6.0,138.414764,kidneybeans
27.0,56.0,20.0,19.25975367,60.0,6.0,94.9533526,kidneybeans
20.0,63.0,24.0,22.95458237,60.0,6.0,107.7315386,kidneybeans
